query_accession	evalue
GRMZM2G127350	PF00202
GRMZM2G107739	PF00202
GRMZM2G030571	PF00202
GRMZM2G093900	PF00202
GRMZM5G817886	PF00202
GRMZM2G108125	PF00202
GRMZM2G124353	PF00202
GRMZM2G116258	PF00202
GRMZM2G102156	PF00202
GRMZM2G010211	PF00202
GRMZM2G325921	PF00202
AC197168.3_FGP001	PF00202
GRMZM2G459710	PF00202
GRMZM5G875537	PF00202
GRMZM2G097037	PF00202
GRMZM2G514616	PF00202
GRMZM2G010307	PF00202
GRMZM2G083134	PF00202
GRMZM2G304113	PF00202
GRMZM2G704174	PF00202
GRMZM2G135695	PF00202
GRMZM2G147256	PF00202
GRMZM2G043887	PF00202
GRMZM2G052457	PF00202
GRMZM2G147268	PF00202
GRMZM2G166166	PF00202
GRMZM2G346693	PF00202
GRMZM2G096958	PF00202
GRMZM2G412151	PF00202
GRMZM2G412604	PF00202
GRMZM2G067265	PF00202
GRMZM2G002652	PF00202
GRMZM2G004729	PF00202
GRMZM2G139813	PF00202
GRMZM2G108416	PF01063
GRMZM2G069596	PF01063
GRMZM2G153536	PF01063
GRMZM2G071208	PF01063
GRMZM5G860824	PF01063
GRMZM2G047347	PF01063
GRMZM2G087103	PF01063
GRMZM2G059669	PF01063
GRMZM2G006399	PF01063
GRMZM2G060470	PF00266
GRMZM2G322314	PF00266
GRMZM2G300801	PF00266
GRMZM2G581155	PF00266
GRMZM2G137868	PF00266
GRMZM2G313162	PF00266
GRMZM2G061821	PF00266
GRMZM2G050481	PF00266
GRMZM2G059700	PF00266
GRMZM2G359559	PF00266
GRMZM2G322186	PF00266
GRMZM2G077212	PF00266
GRMZM2G067265	PF00266
GRMZM2G044337	PF00266
GRMZM2G078097	PF00266
GRMZM2G167156	PF00266
GRMZM2G450498	PF00266
GRMZM2G017110	PF00266
GRMZM5G826838	PF00266
GRMZM2G101069	PF00266
GRMZM2G096958	PF00266
GRMZM2G412604	PF00266
GRMZM2G104310	PF00266
GRMZM2G056418	PF00266
GRMZM2G100920	PF00266
GRMZM2G113873	PF00266
GRMZM2G320085	PF00266
GRMZM2G142030	PF00266
GRMZM2G098875	PF00266
GRMZM2G075153	PF00266
GRMZM2G152888	PF00266
GRMZM2G010202	PF00266
GRMZM2G400604	PF00266
GRMZM2G139813	PF00266
GRMZM2G033799	PF00266
GRMZM2G108514	PF00266
GRMZM2G002652	PF00266
GRMZM2G355906	PF00266
GRMZM2G147256	PF00266
GRMZM2G044372	PF00266
GRMZM2G119511	PF00266
AC217811.3_FGP003	PF00266
GRMZM2G451314	PF00266
GRMZM2G040400	PF00266
GRMZM2G067257	PF00266
GRMZM2G006838	PF00266
GRMZM2G054361	PF00266
GRMZM2G110932	PF00266
GRMZM2G174145	PF00266
GRMZM2G124963	PF12897
GRMZM2G088028	PF12897
GRMZM2G033799	PF12897
GRMZM2G400604	PF12897
GRMZM5G840582	PF12897
GRMZM2G030529	PF01593
GRMZM2G149786	PF01593
GRMZM2G034152	PF01593
GRMZM2G078033	PF01593
GRMZM2G019863	PF01593
GRMZM2G059958	PF01593
GRMZM2G000052	PF01593
GRMZM2G150248	PF01593
GRMZM2G396856	PF01593
GRMZM2G039396	PF01593
GRMZM2G410515	PF01593
GRMZM2G071343	PF01593
GRMZM2G035994	PF01593
GRMZM2G364901	PF01593
GRMZM2G454952	PF01593
GRMZM2G153799	PF01593
GRMZM2G071217	PF01593
AC213398.3_FGP002	PF01593
GRMZM2G140288	PF01593
GRMZM2G357734	PF01593
GRMZM2G144273	PF01593
GRMZM2G108457	PF01593
GRMZM2G402368	PF01593
GRMZM2G178917	PF01593
GRMZM2G441444	PF01593
GRMZM2G079805	PF01593
GRMZM2G137820	PF01593
AC234201.1_FGP003	PF01593
GRMZM2G473329	PF01593
GRMZM2G088601	PF01593
GRMZM2G081016	PF01593
GRMZM2G165844	PF01593
AC208406.3_FGP002	PF01593
GRMZM2G106588	PF01593
GRMZM2G106531	PF01593
GRMZM5G876960	PF01593
GRMZM2G006144	PF01593
GRMZM2G423886	PF01593
GRMZM2G162222	PF01593
GRMZM2G355021	PF01593
GRMZM2G148605	PF01593
GRMZM2G425719	PF01593
GRMZM2G108637	PF01593
GRMZM2G058261	PF01593
AC197196.3_FGP002	PF01593
GRMZM5G841893	PF01593
GRMZM2G349709	PF01593
GRMZM2G077054	PF01593
GRMZM2G085078	PF01593
GRMZM2G375064	PF01593
GRMZM5G831313	PF01593
GRMZM2G089121	PF01593
GRMZM2G430604	PF01593
GRMZM2G428628	PF01593
GRMZM2G369069	PF01593
GRMZM2G084440	PF01593
GRMZM2G023214	PF01593
GRMZM5G891656	PF01593
GRMZM2G160747	PF01593
GRMZM2G370756	PF01593
AC209768.3_FGP016	PF01593
GRMZM2G113844	PF01593
GRMZM2G052266	PF01593
GRMZM2G053315	PF01593
GRMZM2G035709	PF01593
GRMZM2G087169	PF01593
GRMZM2G017193	PF01593
GRMZM2G000427	PF01593
GRMZM2G022845	PF01593
AC191071.3_FGP001	PF01593
GRMZM2G415219	PF01593
GRMZM2G320307	PF01593
AC198118.4_FGP004	PF01593
GRMZM2G019515	PF01593
GRMZM2G141383	PF01593
GRMZM2G421509	PF01593
GRMZM2G479163	PF10997
GRMZM2G318849	PF10997
GRMZM2G372077	PF10997
GRMZM2G074908	PF10997
GRMZM2G131667	PF01871
GRMZM2G175140	PF00909
GRMZM2G028736	PF00909
GRMZM2G118950	PF00909
GRMZM2G338809	PF00909
GRMZM2G080045	PF00909
GRMZM2G335218	PF00909
GRMZM2G473697	PF00909
GRMZM2G043193	PF00909
GRMZM2G701289	PF00909
AC208641.3_FGP008	PF00909
AC211704.3_FGP003	PF00909
AC208641.3_FGP005	PF00909
GRMZM2G079278	PF00909
GRMZM2G172581	PF00909
AC195826.2_FGP006	PF00909
GRMZM5G822757	PF14828
GRMZM2G070863	PF14828
GRMZM5G801299	PF14828
GRMZM2G487328	PF14828
GRMZM2G168388	PF14828
GRMZM2G150448	PF14828
GRMZM2G175207	PF14828
GRMZM2G162544	PF14828
GRMZM2G051327	PF14828
GRMZM2G017329	PF14828
GRMZM2G075333	PF00501
GRMZM2G055320	PF00501
GRMZM2G054013	PF00501
GRMZM2G174732	PF00501
GRMZM2G101875	PF00501
GRMZM2G059381	PF00501
GRMZM2G079236	PF00501
GRMZM2G118286	PF00501
GRMZM2G152127	PF00501
GRMZM5G812228	PF00501
GRMZM2G174574	PF00501
GRMZM2G122787	PF00501
GRMZM2G096020	PF00501
GRMZM2G104847	PF00501
GRMZM2G002614	PF00501
GRMZM5G861300	PF00501
GRMZM2G162663	PF00501
GRMZM2G014651	PF00501
GRMZM2G145179	PF00501
GRMZM2G075417	PF00501
GRMZM2G157269	PF00501
GRMZM2G092813	PF00501
GRMZM2G105330	PF00501
GRMZM2G433624	PF00501
GRMZM2G019746	PF00501
GRMZM2G117064	PF00501
GRMZM2G157113	PF00501
GRMZM2G013783	PF00501
GRMZM2G110616	PF00501
GRMZM2G465806	PF00501
GRMZM2G120539	PF00501
GRMZM2G016774	PF00501
GRMZM2G091643	PF00501
GRMZM2G460078	PF00501
GRMZM2G152417	PF00501
GRMZM2G066426	PF00501
GRMZM5G805585	PF00501
GRMZM2G074759	PF00501
GRMZM2G070837	PF00501
GRMZM2G333861	PF00501
GRMZM2G114578	PF00501
GRMZM2G165844	PF00501
GRMZM2G393146	PF00501
GRMZM2G339336	PF00501
GRMZM2G176546	PF00501
GRMZM2G048522	PF00501
GRMZM5G840955	PF00501
GRMZM2G472376	PF00501
GRMZM2G062357	PF00501
GRMZM2G391684	PF00501
GRMZM2G085856	PF00501
GRMZM2G072722	PF00501
GRMZM2G104894	PF00501
GRMZM2G024094	PF00501
AC206175.3_FGP003	PF00501
GRMZM2G150743	PF00501
GRMZM2G168155	PF00501
GRMZM2G048403	PF00501
GRMZM2G105176	PF00501
GRMZM2G305809	PF00501
GRMZM2G101300	PF00501
GRMZM5G872443	PF00501
GRMZM5G894944	PF00501
GRMZM5G845775	PF00501
GRMZM2G009438	PF00501
GRMZM2G430616	PF00501
GRMZM2G426399	PF00501
GRMZM2G084670	PF00501
AF466202.2_FGP012	PF00501
AC194698.2_FGP001	PF00501
AC206432.3_FGP005	PF00501
GRMZM2G444383	PF00501
GRMZM5G889326	PF00501
AC188831.3_FGP005	PF00501
GRMZM2G120539	PF13193
GRMZM2G157113	PF13193
GRMZM2G105330	PF13193
GRMZM2G162663	PF13193
GRMZM2G157269	PF13193
GRMZM2G110616	PF13193
GRMZM2G465806	PF13193
GRMZM2G075417	PF13193
GRMZM2G092813	PF13193
GRMZM2G152417	PF13193
GRMZM2G074759	PF13193
GRMZM2G013783	PF13193
GRMZM2G333861	PF13193
GRMZM2G096020	PF13193
GRMZM2G460078	PF13193
GRMZM2G174732	PF13193
GRMZM2G075333	PF13193
GRMZM5G805585	PF13193
GRMZM2G055320	PF13193
GRMZM2G019746	PF13193
GRMZM2G433624	PF13193
GRMZM2G054013	PF13193
GRMZM2G174574	PF13193
GRMZM2G122787	PF13193
GRMZM2G014651	PF13193
GRMZM2G145179	PF13193
GRMZM2G066426	PF13193
GRMZM2G391684	PF13193
GRMZM2G105176	PF13193
GRMZM5G840955	PF13193
GRMZM2G328473	PF13193
GRMZM2G317272	PF13193
GRMZM2G104847	PF13193
GRMZM2G059381	PF13193
GRMZM2G472376	PF13193
GRMZM2G393146	PF13193
GRMZM2G079236	PF13193
AC195319.3_FGP001	PF13193
GRMZM2G176546	PF13193
GRMZM2G152127	PF13193
GRMZM2G048403	PF13193
GRMZM2G117064	PF13193
GRMZM2G118286	PF13193
GRMZM2G002614	PF13193
GRMZM5G861300	PF13193
GRMZM2G132324	PF13193
GRMZM5G812228	PF13193
GRMZM2G101875	PF13193
GRMZM2G016774	PF13193
GRMZM2G317406	PF14535
GRMZM2G066426	PF14535
GRMZM2G138814	PF16561
GRMZM2G064725	PF16561
GRMZM2G130950	PF16561
GRMZM2G148144	PF16561
GRMZM2G025459	PF16561
GRMZM2G014170	PF16561
GRMZM2G047774	PF16561
GRMZM2G027632	PF16561
GRMZM2G041312	PF16561
GRMZM5G845175	PF16561
GRMZM2G127374	PF16561
GRMZM2G052546	PF16561
GRMZM2G104501	PF16561
GRMZM2G122274	PF16561
GRMZM2G042245	PF16561
GRMZM2G169154	PF16561
GRMZM2G070163	PF04739
GRMZM2G138814	PF04739
GRMZM2G064725	PF04739
GRMZM2G025459	PF04739
GRMZM2G027632	PF04739
GRMZM2G130950	PF04739
GRMZM2G148144	PF04739
GRMZM2G090195	PF04739
GRMZM2G124225	PF04739
GRMZM2G135045	PF05195
GRMZM2G021110	PF05195
GRMZM2G155363	PF05195
GRMZM2G053980	PF12859
GRMZM5G874168	PF12859
GRMZM2G093725	PF12859
GRMZM2G054247	PF03256
GRMZM2G174971	PF03256
GRMZM5G816453	PF03256
GRMZM2G092743	PF15243
GRMZM2G020201	PF15243
GRMZM2G018499	PF15243
GRMZM2G051502	PF15243
GRMZM2G156785	PF15243
GRMZM2G168886	PF08672
GRMZM2G035996	PF08672
GRMZM2G092198	PF08672
GRMZM2G175313	PF08672
GRMZM2G392710	PF12895
GRMZM2G147603	PF12895
GRMZM2G166684	PF12895
GRMZM2G161913	PF12895
GRMZM2G104769	PF12895
GRMZM2G093291	PF12895
GRMZM2G170591	PF12895
GRMZM2G025451	PF12895
GRMZM2G089296	PF12895
GRMZM2G002227	PF12895
GRMZM2G149704	PF12895
GRMZM2G131820	PF12895
GRMZM2G105019	PF12895
GRMZM2G008060	PF12895
GRMZM2G128131	PF12895
GRMZM2G025598	PF12895
GRMZM2G079613	PF12895
GRMZM2G070381	PF12895
GRMZM2G070863	PF12895
GRMZM2G093436	PF12895
GRMZM2G021710	PF12895
GRMZM2G435761	PF12895
GRMZM2G121960	PF12895
GRMZM2G312827	PF12895
GRMZM2G456114	PF12895
GRMZM2G402779	PF12895
GRMZM5G863152	PF12895
GRMZM2G073511	PF12895
GRMZM2G127963	PF12895
GRMZM2G348697	PF12895
AC199363.4_FGP003	PF12895
GRMZM2G369701	PF12895
GRMZM2G063850	PF12895
GRMZM2G162688	PF12895
GRMZM2G030263	PF12895
GRMZM2G104179	PF12895
GRMZM2G128658	PF12895
AC205735.3_FGP006	PF12895
GRMZM2G016382	PF12895
GRMZM2G047093	PF12895
GRMZM2G108565	PF12895
GRMZM2G442057	PF12895
GRMZM2G337701	PF12895
GRMZM2G441687	PF12895
GRMZM2G018974	PF12895
AC207652.3_FGP001	PF12895
GRMZM2G024435	PF12895
GRMZM2G117763	PF12895
GRMZM2G353195	PF12895
GRMZM2G028929	PF12895
AC210169.3_FGP002	PF12895
GRMZM2G070562	PF12895
GRMZM2G048883	PF12895
GRMZM2G126435	PF12895
GRMZM2G312910	PF12895
GRMZM2G031637	PF12895
GRMZM2G438722	PF12895
GRMZM2G162988	PF12895
GRMZM2G341404	PF12895
GRMZM2G015219	PF12895
GRMZM2G010000	PF12895
GRMZM2G421231	PF12895
GRMZM2G151564	PF12895
GRMZM2G010973	PF12895
GRMZM2G038882	PF12895
GRMZM2G007248	PF12895
GRMZM2G074957	PF12895
GRMZM2G161419	PF12895
GRMZM2G578314	PF12895
GRMZM2G133624	PF12895
GRMZM2G145133	PF12895
GRMZM2G124602	PF12895
GRMZM2G076950	PF12895
GRMZM2G453956	PF12895
GRMZM2G442170	PF12895
GRMZM2G104286	PF12895
GRMZM2G101547	PF12895
GRMZM2G163796	PF12895
GRMZM2G063603	PF12895
AC197095.3_FGP004	PF12895
GRMZM2G005938	PF12895
GRMZM2G117746	PF12895
GRMZM2G055282	PF12895
GRMZM2G147894	PF12895
GRMZM2G076257	PF12895
GRMZM2G004715	PF12895
GRMZM2G416498	PF12895
GRMZM2G416201	PF12895
GRMZM2G146207	PF12895
GRMZM2G468147	PF12895
GRMZM2G514273	PF12895
GRMZM2G137566	PF12895
GRMZM2G112284	PF12895
AC203841.3_FGP002	PF12895
GRMZM2G050268	PF12895
GRMZM2G030594	PF12895
GRMZM2G022787	PF12895
GRMZM2G165963	PF12895
GRMZM2G147377	PF12895
GRMZM2G034043	PF12895
GRMZM2G415330	PF12895
GRMZM2G503413	PF12895
AC195789.3_FGP001	PF12895
GRMZM2G032821	PF12895
GRMZM2G086136	PF12895
GRMZM2G308189	PF12895
GRMZM2G474929	PF12895
GRMZM2G060947	PF12895
AC209247.4_FGP001	PF12895
GRMZM2G031761	PF12895
GRMZM2G464510	PF12895
GRMZM2G054458	PF12895
GRMZM2G019689	PF12895
GRMZM5G847615	PF12895
GRMZM5G819320	PF12895
GRMZM2G086030	PF12895
GRMZM5G855808	PF12895
GRMZM2G376918	PF12895
GRMZM2G170890	PF12895
GRMZM5G809292	PF12895
GRMZM2G115615	PF12895
GRMZM2G154685	PF12895
GRMZM2G096585	PF12895
GRMZM2G016892	PF12895
GRMZM2G112659	PF12895
GRMZM2G113036	PF12895
GRMZM2G059449	PF12895
GRMZM2G336858	PF12895
GRMZM2G053766	PF12896
GRMZM2G159330	PF12894
GRMZM2G149708	PF12894
GRMZM2G088162	PF12894
GRMZM2G157034	PF12894
GRMZM2G114468	PF12894
GRMZM2G124975	PF12894
GRMZM2G168428	PF12894
GRMZM2G085338	PF12894
GRMZM2G019084	PF12894
GRMZM2G126552	PF12894
GRMZM2G013563	PF12894
GRMZM2G060817	PF12894
GRMZM2G078754	PF12894
GRMZM2G009627	PF12894
GRMZM2G179424	PF12894
GRMZM2G406553	PF12894
GRMZM2G024469	PF12894
GRMZM2G160702	PF12894
GRMZM2G087712	PF12894
GRMZM2G045314	PF12894
GRMZM2G130425	PF12894
GRMZM2G023625	PF12894
GRMZM5G881296	PF12894
GRMZM2G037698	PF12894
GRMZM2G323470	PF12894
GRMZM2G063192	PF12894
GRMZM2G180205	PF12894
GRMZM2G558078	PF12894
AC209858.4_FGP002	PF12894
GRMZM2G324540	PF12894
GRMZM2G125656	PF12894
GRMZM2G441658	PF12894
GRMZM2G178801	PF12894
GRMZM2G376959	PF12894
GRMZM2G136868	PF12894
GRMZM2G064005	PF12894
GRMZM2G159427	PF12894
GRMZM2G037683	PF12894
GRMZM2G024051	PF12894
GRMZM2G135300	PF12894
GRMZM2G111247	PF12894
GRMZM2G056419	PF12894
GRMZM2G101689	PF12894
GRMZM2G042992	PF12894
GRMZM5G821639	PF12894
GRMZM2G014276	PF12894
GRMZM2G316967	PF12894
GRMZM5G853361	PF12894
GRMZM2G320920	PF12894
GRMZM2G040477	PF12894
GRMZM2G038032	PF12894
GRMZM2G081013	PF12894
GRMZM2G168752	PF12894
GRMZM2G030422	PF12894
GRMZM5G829955	PF12894
GRMZM2G158179	PF12894
GRMZM2G434696	PF12894
GRMZM2G030384	PF12894
GRMZM2G164085	PF12894
GRMZM2G078806	PF12894
GRMZM2G093239	PF12894
GRMZM2G061186	PF12894
GRMZM2G036169	PF12894
GRMZM2G426802	PF12894
GRMZM2G058498	PF12894
GRMZM2G425377	PF12894
GRMZM2G022383	PF12894
GRMZM2G011364	PF12894
GRMZM2G102795	PF12894
GRMZM2G127850	PF12894
GRMZM5G871980	PF12894
GRMZM2G079723	PF12894
GRMZM5G896834	PF12894
GRMZM2G007021	PF12894
GRMZM2G170129	PF12894
GRMZM2G120784	PF12894
GRMZM2G094959	PF12894
GRMZM2G128092	PF12894
GRMZM2G065822	PF12894
GRMZM2G088261	PF12894
GRMZM2G041642	PF12894
GRMZM2G176647	PF12894
GRMZM2G032260	PF12894
GRMZM2G128477	PF12894
GRMZM2G010054	PF12894
GRMZM2G027049	PF12894
GRMZM2G149406	PF12894
GRMZM2G143330	PF12894
GRMZM2G180815	PF12894
AC217887.3_FGP005	PF12894
GRMZM2G056916	PF12894
GRMZM5G846048	PF12894
GRMZM2G017815	PF12894
GRMZM5G828718	PF12894
GRMZM2G085825	PF12894
GRMZM2G105398	PF12894
GRMZM2G017089	PF12894
GRMZM2G028834	PF12894
GRMZM2G071448	PF12894
GRMZM2G142667	PF12894
GRMZM2G319435	PF12894
GRMZM2G097640	PF12894
GRMZM2G113726	PF12894
GRMZM2G312091	PF12894
GRMZM2G158489	PF12894
GRMZM2G022275	PF12894
GRMZM2G144547	PF12894
GRMZM2G361398	PF12894
GRMZM2G090168	PF12894
GRMZM2G136014	PF12894
GRMZM2G079323	PF12894
GRMZM2G048800	PF12894
GRMZM2G055437	PF12894
GRMZM2G420469	PF12894
GRMZM2G079013	PF12894
GRMZM2G099758	PF12894
GRMZM2G078252	PF12894
GRMZM2G131998	PF12894
GRMZM2G096051	PF12894
GRMZM2G374969	PF12894
GRMZM2G007229	PF12894
GRMZM2G133749	PF12894
GRMZM2G057853	PF12894
GRMZM2G550865	PF12894
GRMZM6G700127	PF12894
GRMZM2G109039	PF12894
GRMZM2G027797	PF12894
GRMZM2G022120	PF12894
GRMZM2G132227	PF12894
GRMZM2G353548	PF12894
GRMZM2G037350	PF12894
GRMZM2G590033	PF12894
GRMZM2G347339	PF12894
GRMZM2G132644	PF12894
GRMZM2G032711	PF12894
GRMZM2G143211	PF12894
GRMZM2G332349	PF12894
GRMZM2G074567	PF12894
AC155622.2_FGP004	PF12894
GRMZM5G803381	PF12894
AC208327.4_FGP003	PF12894
GRMZM2G106017	PF12894
GRMZM2G145556	PF12894
GRMZM2G458888	PF12894
GRMZM2G048045	PF12894
GRMZM2G095043	PF12894
GRMZM2G020291	PF12894
GRMZM2G058345	PF12894
GRMZM2G461543	PF12894
GRMZM2G023372	PF12894
GRMZM2G375856	PF12894
GRMZM2G408834	PF12894
GRMZM2G300945	PF12894
GRMZM2G146280	PF12894
GRMZM2G122607	PF12894
GRMZM2G174757	PF12894
GRMZM2G042371	PF12894
GRMZM2G015005	PF12894
GRMZM2G334061	PF12894
GRMZM2G074466	PF12894
GRMZM2G077458	PF12894
GRMZM2G306351	PF12894
GRMZM2G079904	PF12894
GRMZM5G899300	PF12894
GRMZM2G161102	PF12894
GRMZM2G092723	PF12894
GRMZM2G000645	PF12894
GRMZM2G095348	PF12894
GRMZM2G029370	PF12894
GRMZM2G396041	PF12894
GRMZM2G022188	PF12894
GRMZM2G069177	PF12894
GRMZM2G443953	PF12894
GRMZM5G828139	PF12894
GRMZM2G014612	PF12894
GRMZM2G179411	PF12894
GRMZM2G141587	PF12894
GRMZM2G050501	PF12894
GRMZM2G124886	PF12894
GRMZM2G092797	PF12894
GRMZM2G035985	PF12894
GRMZM2G152963	PF12894
GRMZM2G164185	PF12894
GRMZM2G118641	PF12894
GRMZM2G018223	PF12894
GRMZM2G100152	PF12894
GRMZM2G327655	PF12894
GRMZM2G555108	PF12894
GRMZM2G142334	PF12894
GRMZM2G123262	PF12894
GRMZM2G031440	PF12894
GRMZM2G172393	PF12894
GRMZM2G132322	PF12894
GRMZM2G037581	PF12894
GRMZM2G090217	PF12894
GRMZM2G396562	PF12894
GRMZM2G401869	PF12894
GRMZM2G057260	PF12894
GRMZM2G028887	PF12894
GRMZM2G154864	PF12894
GRMZM2G410085	PF12894
AC192595.3_FGP001	PF12894
GRMZM2G061602	PF12894
GRMZM2G399858	PF12894
GRMZM2G096802	PF12894
AC205703.4_FGP004	PF12894
GRMZM2G150772	PF12894
GRMZM2G464754	PF12894
GRMZM2G037200	PF12894
GRMZM2G096070	PF12894
GRMZM5G812525	PF12894
GRMZM2G114904	PF12894
GRMZM2G058511	PF12894
GRMZM2G159849	PF12894
GRMZM2G475867	PF12894
GRMZM2G123709	PF12894
GRMZM2G040247	PF12894
AC213388.4_FGP004	PF12894
GRMZM2G499182	PF12894
GRMZM2G153127	PF12894
GRMZM2G458266	PF12894
GRMZM2G004475	PF12894
GRMZM2G029536	PF12894
AC212570.3_FGP006	PF12894
GRMZM5G861093	PF12894
AC203920.3_FGP004	PF12894
GRMZM2G110869	PF12894
GRMZM2G148924	PF12894
GRMZM2G052750	PF12894
GRMZM2G030858	PF12894
GRMZM2G369047	PF12894
GRMZM2G167999	PF12894
GRMZM5G881044	PF12894
GRMZM5G867194	PF12894
GRMZM2G168574	PF12894
GRMZM2G517884	PF12894
GRMZM2G086401	PF12894
GRMZM2G100457	PF12894
GRMZM2G143878	PF12894
GRMZM2G000177	PF12894
GRMZM2G396231	PF12894
GRMZM2G161832	PF12894
GRMZM2G104179	PF12862
GRMZM2G073511	PF12862
AC195789.3_FGP001	PF12862
GRMZM2G423573	PF12862
AC209247.4_FGP001	PF12862
GRMZM2G147377	PF12862
GRMZM2G472023	PF12862
GRMZM2G504906	PF12862
GRMZM2G438722	PF12862
GRMZM2G170591	PF04049
GRMZM2G166684	PF04049
GRMZM2G092459	PF12856
AC205703.4_FGP002	PF12856
GRMZM5G859973	PF02166
GRMZM2G145482	PF02166
GRMZM2G394188	PF02166
GRMZM2G156608	PF02166
GRMZM2G178298	PF06369
GRMZM2G074488	PF03139
GRMZM2G094388	PF09582
GRMZM2G078933	PF09582
GRMZM2G111411	PF09582
GRMZM2G057459	PF01094
GRMZM2G148807	PF01094
GRMZM2G125495	PF01094
GRMZM2G150337	PF01094
GRMZM2G098301	PF01094
GRMZM2G066489	PF01094
GRMZM2G020104	PF01094
GRMZM2G302673	PF01094
GRMZM2G165828	PF01094
GRMZM2G428379	PF01094
GRMZM2G341499	PF01094
GRMZM2G391487	PF01094
GRMZM2G329252	PF01094
GRMZM2G310331	PF01094
AC216182.3_FGP004	PF12240
GRMZM5G814007	PF12240
GRMZM2G173321	PF16018
GRMZM2G065933	PF16018
GRMZM2G446313	PF00023
GRMZM5G808610	PF00023
GRMZM6G399977	PF00023
GRMZM2G142345	PF00023
GRMZM2G315072	PF00023
GRMZM2G155314	PF00023
GRMZM2G006973	PF00023
GRMZM2G100380	PF00023
GRMZM2G176605	PF00023
GRMZM2G098212	PF00023
GRMZM2G148721	PF00023
GRMZM2G081053	PF00023
GRMZM2G045401	PF00023
GRMZM2G088778	PF00023
GRMZM2G022892	PF00023
GRMZM2G419563	PF00023
GRMZM2G022032	PF00023
GRMZM2G042107	PF00023
GRMZM2G022915	PF00023
GRMZM2G016668	PF00023
GRMZM2G103270	PF00023
GRMZM2G113002	PF00023
GRMZM2G141922	PF00023
GRMZM2G056934	PF00023
GRMZM2G169990	PF00023
GRMZM2G136996	PF00023
GRMZM2G536120	PF00023
GRMZM2G019838	PF00023
GRMZM2G171279	PF00023
GRMZM2G181522	PF00023
GRMZM2G020982	PF00023
GRMZM2G123977	PF00023
GRMZM2G109914	PF00023
GRMZM2G338333	PF00023
GRMZM2G020620	PF00023
GRMZM2G090559	PF00023
GRMZM2G424582	PF00023
GRMZM2G311233	PF00023
GRMZM2G024437	PF00023
GRMZM2G087806	PF00023
GRMZM2G115047	PF00023
GRMZM2G028258	PF00023
GRMZM2G069162	PF00023
GRMZM2G062841	PF00023
GRMZM2G474531	PF00023
GRMZM2G031298	PF00023
GRMZM2G308203	PF00023
GRMZM2G156255	PF00023
GRMZM6G289317	PF00023
GRMZM2G016558	PF00023
GRMZM2G341155	PF00023
GRMZM2G092481	PF00023
GRMZM2G053934	PF00023
GRMZM2G310569	PF00023
GRMZM2G081434	PF00023
GRMZM2G173636	PF00023
GRMZM2G056608	PF00023
GRMZM2G135362	PF00023
AC217293.3_FGP005	PF00023
GRMZM2G000491	PF00023
GRMZM2G114255	PF00023
GRMZM2G049495	PF00023
GRMZM2G131812	PF00023
GRMZM2G117329	PF00023
GRMZM2G099622	PF00023
GRMZM5G842019	PF00023
GRMZM2G133396	PF00023
GRMZM2G428859	PF00023
AC215244.3_FGP002	PF00023
AC148152.3_FGP001	PF00023
GRMZM2G059225	PF00023
GRMZM2G038820	PF00023
GRMZM2G045366	PF00023
GRMZM5G872204	PF00023
GRMZM5G800734	PF00023
GRMZM2G039867	PF00023
GRMZM2G076450	PF00023
GRMZM2G180979	PF00023
GRMZM2G060723	PF00023
GRMZM2G026556	PF00023
GRMZM2G022606	PF00023
GRMZM5G893355	PF00023
GRMZM2G433003	PF00023
GRMZM2G007466	PF00023
GRMZM2G493155	PF00023
GRMZM2G072767	PF00023
GRMZM5G882078	PF00023
AC234152.1_FGP002	PF00023
GRMZM2G115162	PF00023
GRMZM2G027298	PF00023
GRMZM2G443668	PF00023
GRMZM2G105800	PF00023
GRMZM2G077197	PF00023
GRMZM2G007441	PF00023
GRMZM2G159034	PF00023
GRMZM2G019688	PF00023
GRMZM2G352513	PF00023
GRMZM2G020859	PF00023
GRMZM2G032336	PF00023
GRMZM2G143205	PF00023
GRMZM2G077404	PF00023
GRMZM2G049296	PF00023
GRMZM2G017368	PF00023
AC197498.3_FGP002	PF00023
GRMZM2G468593	PF00023
GRMZM2G131084	PF00023
GRMZM2G339929	PF00023
GRMZM2G112172	PF00023
GRMZM2G431243	PF00023
GRMZM2G171600	PF00023
GRMZM2G447551	PF00023
GRMZM2G156756	PF00023
GRMZM2G153594	PF00023
GRMZM2G138421	PF00023
GRMZM2G341747	PF00023
GRMZM2G017719	PF00023
GRMZM2G164669	PF00023
GRMZM2G470863	PF00023
GRMZM2G152661	PF00023
GRMZM2G017624	PF00023
GRMZM5G854980	PF00023
GRMZM2G339836	PF00023
GRMZM5G866981	PF00023
AC198752.4_FGP002	PF00023
GRMZM5G807054	PF00023
GRMZM2G169270	PF00023
GRMZM2G098557	PF00023
GRMZM2G433295	PF00023
GRMZM2G106881	PF00023
AC182622.3_FGP004	PF00023
GRMZM2G413220	PF00023
GRMZM2G148721	PF18418
GRMZM2G092481	PF18418
GRMZM2G176605	PF18418
GRMZM2G171600	PF18418
GRMZM2G088778	PF12796
GRMZM2G081053	PF12796
GRMZM2G056608	PF12796
GRMZM2G148721	PF12796
GRMZM2G176605	PF12796
GRMZM2G019838	PF12796
GRMZM2G098212	PF12796
GRMZM2G042107	PF12796
GRMZM2G100380	PF12796
