genes	domain
GRMZM2G048611	"PF09320,PF00226"
GRMZM2G048616	PF03060
GRMZM2G048619	PF00171
GRMZM2G048621	PF00847
GRMZM2G048628	
GRMZM2G048635	PF00069
GRMZM2G048644	PF04424
GRMZM2G048651	PF08263
GRMZM2G048656	
GRMZM2G048661	
GRMZM2G048665	
GRMZM2G048665	
GRMZM2G048672	PF01187
GRMZM2G048680	PF01803
GRMZM2G048680	PF01803
GRMZM2G048695	
GRMZM2G048697	PF04398
GRMZM2G048703	PF01652
GRMZM2G048703	PF01652
GRMZM2G048732	
GRMZM2G048733	PF10604
GRMZM2G048733	PF10604
GRMZM2G048740	"PF00132,PF06426"
GRMZM2G048740	PF00132
GRMZM2G048740	"PF00132,PF06426"
GRMZM2G048762	PF06728
GRMZM2G048762	PF06728
GRMZM2G048762	PF06728
GRMZM2G048762	PF06728
GRMZM2G048763	PF00191
GRMZM2G048766	
GRMZM2G048770	
GRMZM2G048775	PF00141
GRMZM2G048775	PF00141
GRMZM2G048791	PF08224
GRMZM2G048793	
GRMZM2G048793	
GRMZM2G048800	PF00400
GRMZM2G048801	"PF08263,PF00560,PF13855,PF00069"
GRMZM2G048804	PF04190
GRMZM2G048804	PF04190
GRMZM2G048806	PF05701
GRMZM2G048810	
GRMZM2G048819	"PF00570,PF01612"
GRMZM2G048819	"PF00570,PF01612"
GRMZM2G048819	PF01612
GRMZM2G048821	PF00265
GRMZM2G048826	PF02365
GRMZM2G048831	
GRMZM2G048836	"PF00004,PF01434"
GRMZM2G048837	
GRMZM2G048843	PF02582
GRMZM2G048846	PF13499
GRMZM2G048846	PF13499
GRMZM2G048846	"PF13499,PF00036"
GRMZM2G048846	PF13499
GRMZM2G048850	PF00320
GRMZM2G048851	
GRMZM2G048854	
GRMZM2G048866	
GRMZM2G048877	
GRMZM2G048883	"PF13371,PF07719"
GRMZM2G048886	
GRMZM2G048892	
GRMZM2G048895	
GRMZM2G048904	PF00657
GRMZM2G048904	
GRMZM2G048905	
GRMZM2G048907	PF00231
GRMZM2G048910	PF00249
GRMZM2G048912	"PF04578,PF13968"
GRMZM2G048912	"PF04578,PF13968"
GRMZM2G048912	
GRMZM2G048919	PF07647
GRMZM2G048926	PF07002
GRMZM2G048928	
GRMZM2G048928	
GRMZM2G048928	
GRMZM2G048935	
GRMZM2G048944	PF00557
GRMZM2G048955	PF00854
GRMZM2G048962	PF00657
GRMZM2G048983	
GRMZM2G048987	"PF04434,PF03101,PF10551"
GRMZM2G048987	"PF04434,PF03101,PF10551"
GRMZM2G048987	"PF04434,PF03101,PF10551"
GRMZM2G049013	PF01423
GRMZM2G049013	PF01423
GRMZM2G049021	PF00857
GRMZM2G049021	PF00857
GRMZM2G049021	PF00857
GRMZM2G049025	PF10584
GRMZM2G049027	
GRMZM2G049027	
GRMZM2G049031	PF03381
GRMZM2G049031	PF03381
GRMZM2G049031	PF03381
GRMZM2G049031	PF03381
GRMZM2G049041	PF02099
GRMZM2G049047	
GRMZM2G049055	PF08477
GRMZM2G049055	PF00025
GRMZM2G049057	
GRMZM2G049057	PF00314
GRMZM2G049068	PF07762
GRMZM2G049070	PF13639
GRMZM2G049076	"PF05116,PF00534"
GRMZM2G049076	
GRMZM2G049077	
GRMZM2G049077	
GRMZM2G049077	
GRMZM2G049083	
GRMZM2G049088	"PF00433,PF07714,PF00069"
GRMZM2G049088	"PF00433,PF07714,PF00069"
GRMZM2G049091	PF02270
GRMZM2G049091	
GRMZM2G049091	PF02270
GRMZM2G049109	PF07714
GRMZM2G049127	PF01603
GRMZM2G049141	PF00632
GRMZM2G049141	PF00632
GRMZM2G049151	PF04520
GRMZM2G049155	PF03735
GRMZM2G049155	PF09465
GRMZM2G049155	PF03735
GRMZM2G049159	PF03514
GRMZM2G049159	
GRMZM2G049159	PF03514
GRMZM2G049168	PF00271
GRMZM2G049168	PF00271
GRMZM2G049173	
GRMZM2G049176	
GRMZM2G049177	
GRMZM2G049185	PF13704
GRMZM2G049188	PF00004
GRMZM2G049190	"PF13579,PF00534"
GRMZM2G049190	"PF13579,PF00534"
GRMZM2G049194	PF00249
GRMZM2G049194	PF00249
GRMZM2G049201	
GRMZM2G049201	
GRMZM2G049211	PF02225
GRMZM2G049211	
GRMZM2G049211	
GRMZM2G049229	"PF00010,PF14215"
GRMZM2G049238	PF03169
GRMZM2G049241	
GRMZM2G049247	
GRMZM2G049267	
GRMZM2G049269	PF03141
GRMZM2G049269	PF03141
GRMZM2G049269	PF03141
GRMZM2G049281	PF00450
GRMZM2G049288	"PF00226,PF14237"
GRMZM2G049296	"PF13857,PF01363"
GRMZM2G049296	
GRMZM2G049318	PF03018
GRMZM2G049322	"PF14383,PF12552"
GRMZM2G049322	"PF14383,PF12552,PF14309"
GRMZM2G049329	"PF01909,PF04926,PF04928"
GRMZM2G049329	"PF01909,PF04928"
GRMZM2G049340	PF13398
GRMZM2G049340	PF13398
GRMZM2G049342	"PF08771,PF00454,PF02259"
GRMZM2G049346	"PF14369,PF13639"
GRMZM2G049347	"PF17047,PF00168"
GRMZM2G049349	
GRMZM2G049351	"PF00664,PF00005"
GRMZM2G049364	"PF00646,PF08268"
GRMZM2G049364	"PF00646,PF08268"
GRMZM2G049364	"PF00646,PF08268"
GRMZM2G049368	PF13967
GRMZM2G049368	PF13967
GRMZM2G049370	PF00301
GRMZM2G049372	PF07690
GRMZM2G049373	"PF00226,PF01556"
GRMZM2G049373	
GRMZM2G049378	PF00249
GRMZM2G049382	PF05903
GRMZM2G049382	PF05903
GRMZM2G049382	PF05903
GRMZM2G049390	PF01920
GRMZM2G049390	PF01920
GRMZM2G049390	PF01920
GRMZM2G049398	PF05047
GRMZM2G049416	PF00297
GRMZM2G049418	"PF14226,PF03171"
GRMZM2G049418	"PF03171,PF14226"
GRMZM2G049422	PF00335
GRMZM2G049422	PF00335
GRMZM2G049424	PF00067
GRMZM2G049429	PF04845
GRMZM2G049429	PF04845
GRMZM2G049429	PF04845
GRMZM2G049432	PF00301
GRMZM2G049444	
GRMZM2G049447	PF01148
GRMZM2G049464	PF02485
GRMZM2G049484	"PF13579,PF13692"
GRMZM2G049484	"PF13579,PF13692"
GRMZM2G049484	"PF13579,PF13692"
GRMZM2G049484	
GRMZM2G049487	
GRMZM2G049495	"PF12796,PF00887"
GRMZM2G049495	"PF12796,PF00887"
GRMZM2G049510	PF07765
GRMZM2G049525	"PF00400,PF00160"
GRMZM2G049525	PF00160
GRMZM2G049525	"PF00400,PF00160"
GRMZM2G049536	PF05916
GRMZM2G049536	
GRMZM2G049536	
GRMZM2G049538	"PF01397,PF03936"
GRMZM2G049538	"PF01397,PF03936"
GRMZM2G049541	PF07714
GRMZM2G049541	PF07714
GRMZM2G049547	
GRMZM2G049547	PF02163
GRMZM2G049547	PF02163
GRMZM2G049549	"PF12546,PF00875,PF03441"
GRMZM2G049549	"PF12546,PF00875,PF03441"
GRMZM2G049565	
GRMZM2G049568	PF13423
GRMZM2G049568	PF00443
GRMZM2G049581	PF01293
GRMZM2G049581	PF01293
GRMZM2G049588	"PF00795,PF02540"
GRMZM2G049588	"PF02540,PF00795"
GRMZM2G049588	PF00795
GRMZM2G049606	
GRMZM2G049608	"PF13947,PF00069,PF07714"
GRMZM2G049608	"PF07645,PF13947,PF00069"
GRMZM2G049609	PF03208
GRMZM2G049609	
GRMZM2G049613	"PF04783,PF04782"
GRMZM2G049613	PF04782
GRMZM2G049623	PF00806
GRMZM2G049641	PF10291
GRMZM2G049641	PF10291
GRMZM2G049654	
GRMZM2G049656	
GRMZM2G049660	PF07714
GRMZM2G049661	PF03145
GRMZM2G049672	PF13176
GRMZM2G049672	PF13176
GRMZM2G049672	PF13176
GRMZM2G049674	
GRMZM2G049675	PF00135
GRMZM2G049681	PF02861
GRMZM2G049686	PF00010
GRMZM2G049687	
GRMZM2G049691	PF07714
GRMZM2G049693	"PF07731,PF07732,PF00394"
GRMZM2G049693	"PF07731,PF07732,PF00394"
GRMZM2G049695	PF00249
GRMZM2G049714	PF03986
GRMZM2G049716	PF16910
GRMZM2G049722	
GRMZM2G049726	PF05664
GRMZM2G049727	
GRMZM2G049727	
GRMZM2G049730	PF00583
GRMZM2G049735	PF01496
GRMZM2G049740	
GRMZM2G049754	
GRMZM2G049755	"PF12854,PF13041,PF01535"
GRMZM2G049758	
GRMZM2G049759	
GRMZM2G049762	
GRMZM2G049766	
GRMZM2G049767	PF00011
GRMZM2G049779	
GRMZM2G049781	PF00403
GRMZM2G049781	PF00403
GRMZM2G049785	
GRMZM2G049790	PF12734
GRMZM2G049790	
GRMZM2G049790	
GRMZM2G049798	PF00201
GRMZM2G049798	
GRMZM2G049798	
GRMZM2G049811	"PF00389,PF02826"
GRMZM2G049838	
GRMZM2G049839	"PF00627,PF13650,PF00240"
GRMZM2G049839	"PF00627,PF13650,PF00240"
GRMZM2G049841	PF00319
GRMZM2G049849	PF10408
GRMZM2G049849	PF10408
GRMZM2G049852	PF01554
GRMZM2G049866	"PF14259,PF00076"
GRMZM2G049866	"PF14259,PF00076"
GRMZM2G049877	"PF00005,PF01061"
GRMZM2G049879	PF00067
GRMZM2G049882	"PF08246,PF00112"
GRMZM2G049888	"PF13812,PF13041,PF01535"
GRMZM2G049892	PF07722
GRMZM2G049893	
GRMZM2G049893	
GRMZM2G049895	"PF00059,PF07714"
GRMZM2G049895	"PF00059,PF07714"
GRMZM2G049895	"PF00059,PF07714"
GRMZM2G049902	"PF14559,PF06424"
GRMZM2G049906	PF00069
GRMZM2G049912	PF04601
GRMZM2G049913	
GRMZM2G049913	
GRMZM2G049915	
GRMZM2G049921	
GRMZM2G049930	PF07883
GRMZM2G049942	PF09409
GRMZM2G049950	
GRMZM2G049950	
GRMZM2G049952	
GRMZM2G049954	
GRMZM2G049990	
GRMZM2G050003	PF03219
GRMZM2G050011	PF03986
GRMZM2G050023	
GRMZM2G050027	
GRMZM2G050039	
GRMZM2G050043	"PF08646,PF16900"
GRMZM2G050047	
GRMZM2G050049	
GRMZM2G050069	
GRMZM2G050072	PF02458
GRMZM2G050076	PF01370
GRMZM2G050076	PF01370
GRMZM2G050076	PF01370
GRMZM2G050076	PF01370
GRMZM2G050077	"PF06415,PF01676"
GRMZM2G050077	"PF06415,PF01676"
GRMZM2G050077	PF01676
GRMZM2G050080	PF02519
GRMZM2G050081	
GRMZM2G050085	PF00564
GRMZM2G050089	PF03547
GRMZM2G050089	PF03547
GRMZM2G050089	
GRMZM2G050098	
GRMZM2G050104	
GRMZM2G050108	PF03059
GRMZM2G050118	
GRMZM2G050118	
GRMZM2G050126	
GRMZM2G050126	PF07160
GRMZM2G050131	PF07468
GRMZM2G050131	
GRMZM2G050137	PF00583
GRMZM2G050147	
GRMZM2G050150	
GRMZM2G050159	"PF03188,PF04526"
GRMZM2G050166	PF08045
GRMZM2G050172	PF13328
GRMZM2G050177	PF05691
GRMZM2G050186	"PF00004,PF10431"
GRMZM2G050186	"PF00004,PF10431"
GRMZM2G050186	
GRMZM2G050186	"PF00004,PF10431"
GRMZM2G050186	"PF00004,PF10431"
GRMZM2G050186	"PF00004,PF10431"
GRMZM2G050193	"PF17047,PF00168"
GRMZM2G050193	"PF17047,PF00168"
GRMZM2G050193	"PF17047,PF00168"
GRMZM2G050201	PF03767
GRMZM2G050214	
GRMZM2G050216	PF13639
GRMZM2G050218	PF00076
GRMZM2G050218	PF00076
GRMZM2G050234	"PF14226,PF03171"
GRMZM2G050242	
GRMZM2G050246	
GRMZM2G050262	
GRMZM2G050262	
GRMZM2G050266	
GRMZM2G050268	PF13414
GRMZM2G050270	PF02458
GRMZM2G050271	
GRMZM2G050273	PF05691
GRMZM2G050275	PF14303
GRMZM2G050286	PF06376
GRMZM2G050286	PF06376
GRMZM2G050298	
GRMZM2G050305	PF00249
GRMZM2G050307	PF03492
GRMZM2G050309	"PF02493,PF01504"
GRMZM2G050321	PF03492
GRMZM2G050325	PF02567
GRMZM2G050325	PF02567
GRMZM2G050325	PF02567
GRMZM2G050325	
GRMZM2G050329	"PF03105,PF07690"
GRMZM2G050333	
GRMZM2G050333	PF09740
GRMZM2G050360	
GRMZM2G050364	"PF14541,PF14543"
GRMZM2G050369	
GRMZM2G050371	"PF02729,PF00185"
GRMZM2G050371	
GRMZM2G050384	
GRMZM2G050394	
GRMZM2G050394	
GRMZM2G050394	PF00153
GRMZM2G050394	PF00153
GRMZM2G050394	PF00153
GRMZM2G050394	PF00153
GRMZM2G050399	
GRMZM2G050405	
GRMZM2G050407	PF07800
GRMZM2G050407	PF07800
GRMZM2G050410	
GRMZM2G050412	"PF03018,PF01419"
GRMZM2G050412	PF03018
GRMZM2G050412	PF01419
GRMZM2G050418	
GRMZM2G050427	"PF07714,PF00069"
GRMZM2G050431	
GRMZM2G050434	
GRMZM2G050435	
GRMZM2G050435	
GRMZM2G050450	PF02458
GRMZM2G050451	
GRMZM2G050458	
GRMZM2G050460	PF01248
GRMZM2G050460	PF01248
GRMZM2G050467	"PF10584,PF00227"
GRMZM2G050470	
GRMZM2G050473	
GRMZM2G050481	PF00266
GRMZM2G050484	PF02535
GRMZM2G050485	"PF12854,PF13041,PF01535"
GRMZM2G050495	"PF00628,PF12165"
GRMZM2G050495	PF00628
GRMZM2G050497	
GRMZM2G050501	"PF08154,PF00400"
GRMZM2G050501	"PF08154,PF00400"
GRMZM2G050501	"PF00400,PF08154"
GRMZM2G050512	PF00481
GRMZM2G050514	"PF03951,PF00120"
GRMZM2G050514	"PF03951,PF00120"
GRMZM2G050514	"PF03951,PF00120"
GRMZM2G050536	PF00069
GRMZM2G050536	"PF13947,PF00069"
GRMZM2G050548	"PF08263,PF00069"
GRMZM2G050550	PF00249
GRMZM2G050552	
GRMZM2G050553	PF13499
GRMZM2G050553	"PF13202,PF13499"
GRMZM2G050553	
GRMZM2G050556	PF07651
GRMZM2G050560	
GRMZM2G050561	"PF04782,PF00133,PF03006"
GRMZM2G050566	
GRMZM2G050570	PF00291
GRMZM2G050581	
GRMZM2G050583	PF06172
GRMZM2G050587	
GRMZM2G050590	"PF02319,PF16421"
GRMZM2G050596	PF01195
GRMZM2G050596	PF01195
GRMZM2G050599	PF12146
GRMZM2G050602	
GRMZM2G050607	PF03168
GRMZM2G050615	
GRMZM2G050625	
GRMZM2G050628	
GRMZM2G050641	PF03982
GRMZM2G050641	PF03982
GRMZM2G050641	PF03982
GRMZM2G050641	PF03982
GRMZM2G050641	PF03982
GRMZM2G050641	PF03982
GRMZM2G050641	PF03982
GRMZM2G050641	PF03982
GRMZM2G050645	
GRMZM2G050647	PF15469
GRMZM2G050649	PF10250
GRMZM2G050649	PF10250
GRMZM2G050649	PF10250
GRMZM2G050649	PF10250
GRMZM2G050649	PF10250
GRMZM2G050658	PF01569
GRMZM2G050658	PF01569
GRMZM2G050658	PF01569
GRMZM2G050658	PF01569
GRMZM2G050658	PF01569
GRMZM2G050665	
GRMZM2G050674	PF02230
GRMZM2G050684	PF01595
GRMZM2G050684	PF01595
GRMZM2G050687	
GRMZM2G050693	PF02622
GRMZM2G050693	PF02622
GRMZM2G050693	
GRMZM2G050693	PF02622
GRMZM2G050697	"PF13812,PF01535,PF13041"
GRMZM2G050701	PF07714
GRMZM2G050701	PF00069
GRMZM2G050705	PF13528
GRMZM2G050705	PF04101
GRMZM2G050709	"PF00954,PF01453"
GRMZM2G050714	PF04921
GRMZM2G050714	PF04921
GRMZM2G050714	PF04921
GRMZM2G050727	PF00335
GRMZM2G050730	PF07876
GRMZM2G050730	PF07876
GRMZM2G050734	"PF05804,PF04564"
GRMZM2G050734	"PF05804,PF04564"
GRMZM2G050734	PF04564
GRMZM2G050741	
GRMZM2G050741	
GRMZM2G050746	
GRMZM2G050748	PF00201
GRMZM2G050752	
GRMZM2G050755	
GRMZM2G050762	
GRMZM2G050765	PF01416
GRMZM2G050765	PF01416
GRMZM2G050765	PF01416
GRMZM2G050765	
GRMZM2G050768	
GRMZM2G050774	PF13639
GRMZM2G050783	PF03690
GRMZM2G050800	PF13499
GRMZM2G050803	
GRMZM2G050810	
GRMZM2G050821	
GRMZM2G050825	PF11833
GRMZM2G050829	PF00141
GRMZM2G050833	"PF16211,PF00125"
GRMZM2G050833	"PF16211,PF00125"
GRMZM2G050842	PF03741
GRMZM2G050842	
GRMZM2G050845	PF08373
GRMZM2G050849	
GRMZM2G050851	PF00847
GRMZM2G050861	PF00069
GRMZM2G050861	PF00069
GRMZM2G050867	"PF00314,PF12110"
GRMZM2G050867	"PF12110,PF00314"
GRMZM2G050869	
GRMZM2G050875	
GRMZM2G050875	
GRMZM2G050875	
GRMZM2G050875	
GRMZM2G050878	
GRMZM2G050882	PF04851
GRMZM2G050883	PF00141
GRMZM2G050885	PF11904
GRMZM2G050885	PF11904
GRMZM2G050890	PF03208
GRMZM2G050890	PF03208
GRMZM2G050903	
GRMZM2G050903	
GRMZM2G050912	
GRMZM2G050914	PF07974
GRMZM2G050915	PF00106
GRMZM2G050917	PF04852
GRMZM2G050920	
GRMZM2G050925	PF03501
GRMZM2G050933	"PF02984,PF00134"
GRMZM2G050933	"PF02984,PF00134"
GRMZM2G050933	PF02984
GRMZM2G050933	
GRMZM2G050937	PF01425
GRMZM2G050939	
GRMZM2G050939	
GRMZM2G050939	
GRMZM2G050939	
GRMZM2G050939	
GRMZM2G050939	PF00096
GRMZM2G050939	PF00096
GRMZM2G050941	
GRMZM2G050946	
GRMZM2G050952	PF16455
GRMZM2G050959	PF00931
GRMZM2G050961	PF00166
GRMZM2G050961	PF00166
GRMZM2G050961	
GRMZM2G050961	PF00166
GRMZM2G050961	PF00166
GRMZM2G050961	PF00166
GRMZM2G050971	PF01521
GRMZM2G050971	PF01521
GRMZM2G050973	
GRMZM2G050973	PF13639
GRMZM2G050982	PF01918
GRMZM2G050984	PF02738
GRMZM2G050994	
GRMZM2G050997	"PF01565,PF09265"
GRMZM2G051002	
GRMZM2G051004	"PF00044,PF02800"
GRMZM2G051005	PF02458
GRMZM2G051009	
GRMZM2G051012	
GRMZM2G051023	
GRMZM2G051032	PF01026
GRMZM2G051038	
GRMZM2G051042	PF00134
GRMZM2G051043	PF00076
GRMZM2G051043	
GRMZM2G051043	
GRMZM2G051045	
GRMZM2G051050	PF00566
GRMZM2G051055	PF00069
GRMZM2G051059	
GRMZM2G051059	PF09353
GRMZM2G051059	
GRMZM2G051059	PF09353
GRMZM2G051059	PF09353
GRMZM2G051079	PF07714
GRMZM2G051079	PF07714
GRMZM2G051090	
GRMZM2G051101	PF03145
GRMZM2G051103	"PF14531,PF03822"
GRMZM2G051114	"PF01282,PF00226"
GRMZM2G051124	
GRMZM2G051124	
GRMZM2G051124	
GRMZM2G051124	
GRMZM2G051128	
GRMZM2G051129	PF13685
GRMZM2G051129	PF13685
GRMZM2G051129	PF01761
GRMZM2G051129	PF01761
GRMZM2G051135	PF08523
GRMZM2G051138	PF03215
GRMZM2G051138	PF03215
GRMZM2G051138	PF03215
GRMZM2G051138	PF03215
GRMZM2G051151	
GRMZM2G051153	PF06273
GRMZM2G051153	PF06273
GRMZM2G051156	
GRMZM2G051168	
GRMZM2G051168	
GRMZM2G051172	
GRMZM2G051174	PF01008
GRMZM2G051179	PF03169
GRMZM2G051179	PF03169
GRMZM2G051179	
GRMZM2G051179	PF03169
GRMZM2G051185	PF02469
GRMZM2G051189	
GRMZM2G051192	
GRMZM2G051197	"PF13855,PF04733,PF06102"
GRMZM2G051201	
GRMZM2G051208	PF01597
GRMZM2G051219	"PF02885,PF00591"
GRMZM2G051219	"PF02885,PF00591"
GRMZM2G051219	PF00591
GRMZM2G051224	
GRMZM2G051247	PF00076
GRMZM2G051256	PF00249
GRMZM2G051256	PF00249
GRMZM2G051262	PF03901
GRMZM2G051262	PF03901
GRMZM2G051262	PF03901
GRMZM2G051270	"PF14306,PF01747"
GRMZM2G051270	"PF14306,PF01747"
GRMZM2G051270	"PF14306,PF01747"
GRMZM2G051274	PF03552
GRMZM2G051276	PF00459
GRMZM2G051277	
GRMZM2G051284	PF03398
GRMZM2G051288	PF00782
GRMZM2G051289	
GRMZM2G051301	
GRMZM2G051308	PF06507
GRMZM2G051308	
GRMZM2G051311	PF03070
GRMZM2G051321	
GRMZM2G051327	PF05739
GRMZM2G051330	
GRMZM2G051330	
GRMZM2G051332	PF00962
GRMZM2G051338	PF01161
GRMZM2G051339	PF02902
GRMZM2G051339	PF02902
GRMZM2G051348	
GRMZM2G051355	PF00248
GRMZM2G051355	PF00248
GRMZM2G051355	PF00248
GRMZM2G051355	
GRMZM2G051367	PF03345
GRMZM2G051374	"PF01693,PF13456"
GRMZM2G051374	PF13456
GRMZM2G051374	"PF01693,PF13456"
GRMZM2G051374	"PF01693,PF13456"
GRMZM2G051374	PF13456
GRMZM2G051374	"PF13456,PF01693"
GRMZM2G051374	"PF01693,PF13456"
GRMZM2G051374	PF13456
GRMZM2G051395	
GRMZM2G051403	
GRMZM2G051403	
GRMZM2G051406	
GRMZM2G051417	
GRMZM2G051420	
GRMZM2G051427	
GRMZM2G051431	
GRMZM2G051456	PF08555
GRMZM2G051458	PF12874
GRMZM2G051458	PF12874
GRMZM2G051458	
GRMZM2G051460	
GRMZM2G051466	
GRMZM2G051466	
GRMZM2G051474	PF00201
GRMZM2G051480	
GRMZM2G051491	PF12697
GRMZM2G051502	"PF00931,PF14299"
GRMZM2G051502	
GRMZM2G051512	
GRMZM2G051522	PF14144
GRMZM2G051528	PF00249
GRMZM2G051528	PF00249
GRMZM2G051534	PF00150
GRMZM2G051541	PF14299
GRMZM2G051541	PF14299
GRMZM2G051545	PF01357
GRMZM2G051545	PF01357
GRMZM2G051567	
GRMZM2G051567	
GRMZM2G051571	PF04862
GRMZM2G051577	PF01966
GRMZM2G051613	PF04716
GRMZM2G051613	PF04716
GRMZM2G051613	
GRMZM2G051619	"PF14226,PF03171"
GRMZM2G051622	"PF14438,PF09532"
GRMZM2G051622	"PF14438,PF09532"
GRMZM2G051626	"PF05189,PF01137"
GRMZM2G051626	"PF05189,PF01137"
GRMZM2G051626	"PF01137,PF05189"
GRMZM2G051630	PF00153
GRMZM2G051630	PF00153
GRMZM2G051637	"PF00020,PF13540,PF07714"
GRMZM2G051659	PF00476
GRMZM2G051661	
GRMZM2G051670	
GRMZM2G051675	
GRMZM2G051677	PF00294
GRMZM2G051677	PF00294
GRMZM2G051677	PF00294
GRMZM2G051677	PF00294
GRMZM2G051677	PF00294
GRMZM2G051683	PF00201
GRMZM2G051689	PF00650
GRMZM2G051689	PF00650
GRMZM2G051689	PF00650
GRMZM2G051697	PF00300
GRMZM2G051697	PF06775
GRMZM2G051709	PF00892
GRMZM2G051716	
GRMZM2G051720	
GRMZM2G051721	PF05162
GRMZM2G051725	
GRMZM2G051738	PF03479
GRMZM2G051738	PF03479
GRMZM2G051745	
GRMZM2G051750	
GRMZM2G051752	PF04570
GRMZM2G051753	PF00955
GRMZM2G051753	PF00955
GRMZM2G051756	"PF00293,PF05026"
GRMZM2G051758	
GRMZM2G051764	PF00571
GRMZM2G051764	PF00571
GRMZM2G051764	PF00571
GRMZM2G051764	PF00571
GRMZM2G051767	PF12049
GRMZM2G051767	PF12049
GRMZM2G051767	PF12049
GRMZM2G051767	PF12049
GRMZM2G051767	
GRMZM2G051771	PF01564
GRMZM2G051771	PF01564
GRMZM2G051771	
GRMZM2G051771	PF01564
GRMZM2G051774	
GRMZM2G051782	"PF03953,PF00091"
GRMZM2G051785	PF03514
GRMZM2G051787	PF05910
GRMZM2G051790	PF09737
GRMZM2G051790	PF09737
GRMZM2G051790	PF09737
GRMZM2G051792	PF12906
GRMZM2G051793	PF00249
GRMZM2G051795	
GRMZM2G051804	
GRMZM2G051806	"PF00349,PF03727"
GRMZM2G051808	
GRMZM2G051814	
GRMZM2G051836	PF00163
GRMZM2G051842	PF00294
GRMZM2G051842	PF00294
GRMZM2G051848	PF01201
GRMZM2G051848	PF01201
GRMZM2G051852	PF00400
GRMZM2G051855	PF14009
GRMZM2G051860	
GRMZM2G051866	PF00481
GRMZM2G051867	
GRMZM2G051879	PF00125
GRMZM2G051879	PF00125
GRMZM2G051879	PF00125
GRMZM2G051879	
GRMZM2G051879	PF00125
GRMZM2G051879	
GRMZM2G051882	
GRMZM2G051890	PF14259
GRMZM2G051891	
GRMZM2G051894	PF12422
GRMZM2G051896	"PF04926,PF01909,PF04928"
GRMZM2G051896	"PF01909,PF04928"
GRMZM2G051898	PF04862
GRMZM2G051912	PF04862
GRMZM2G051917	PF04515
GRMZM2G051919	
GRMZM2G051921	"PF00187,PF00182"
GRMZM2G051932	"PF14383,PF12552"
GRMZM2G051932	"PF14383,PF12552"
GRMZM2G051942	
GRMZM2G051943	"PF00187,PF00182"
GRMZM2G051948	
GRMZM2G051949	PF01048
GRMZM2G051949	PF01048
GRMZM2G051949	PF01048
GRMZM2G051952	PF11998
GRMZM2G051952	PF11998
GRMZM2G051952	PF11998
GRMZM2G051952	PF11998
GRMZM2G051952	PF11998
GRMZM2G051952	PF11998
GRMZM2G051955	PF04770
GRMZM2G051958	
GRMZM2G051972	
GRMZM2G051974	PF03094
GRMZM2G051974	PF03094
GRMZM2G051974	PF03094
GRMZM2G051984	PF07714
GRMZM2G051984	PF07714
GRMZM2G051995	
GRMZM2G052006	PF00026
GRMZM2G052009	
GRMZM2G052011	"PF00646,PF01344"
GRMZM2G052011	"PF00646,PF01344"
GRMZM2G052034	"PF13639,PF14599,PF05495"
GRMZM2G052034	PF05495
GRMZM2G052036	
GRMZM2G052045	PF00319
GRMZM2G052067	"PF14531,PF03822"
GRMZM2G052076	
GRMZM2G052078	"PF02985,PF12348"
GRMZM2G052078	"PF02985,PF12348"
GRMZM2G052078	"PF02985,PF12348"
GRMZM2G052088	PF01992
GRMZM2G052088	PF01992
GRMZM2G052088	PF01992
GRMZM2G052093	PF00026
GRMZM2G052100	PF02496
GRMZM2G052102	PF00170
GRMZM2G052105	PF05347
GRMZM2G052111	PF00069
GRMZM2G052111	PF00069
GRMZM2G052114	
GRMZM2G052123	PF01486
GRMZM2G052128	
GRMZM2G052129	PF00169
GRMZM2G052129	
GRMZM2G052132	
GRMZM2G052134	
GRMZM2G052142	"PF12745,PF05773,PF13393,PF07714"
GRMZM2G052142	PF13393
GRMZM2G052145	
GRMZM2G052148	PF04097
GRMZM2G052166	PF00076
GRMZM2G052166	PF14259
GRMZM2G052166	PF14259
GRMZM2G052166	PF14259
GRMZM2G052166	PF14259
GRMZM2G052168	
GRMZM2G052170	
GRMZM2G052170	
GRMZM2G052170	
GRMZM2G052175	PF00182
GRMZM2G052178	PF05291
GRMZM2G052178	PF05291
GRMZM2G052183	
GRMZM2G052193	
GRMZM2G052200	PF04367
GRMZM2G052200	PF04367
GRMZM2G052200	
GRMZM2G052206	
GRMZM2G052206	PF00069
GRMZM2G052206	PF00069
GRMZM2G052210	
GRMZM2G052213	PF03931
GRMZM2G052218	
GRMZM2G052233	PF10615
GRMZM2G052235	PF01412
GRMZM2G052235	PF01412
GRMZM2G052239	PF02365
GRMZM2G052241	"PF03931,PF01466"
GRMZM2G052247	
GRMZM2G052255	
GRMZM2G052255	
GRMZM2G052255	
GRMZM2G052266	PF12831
GRMZM2G052266	PF12831
GRMZM2G052268	
GRMZM2G052268	
GRMZM2G052270	
GRMZM2G052277	"PF00564,PF00571"
GRMZM2G052279	PF12576
GRMZM2G052279	
GRMZM2G052279	
GRMZM2G052288	"PF00278,PF02784"
GRMZM2G052288	"PF00278,PF02784"
GRMZM2G052296	
GRMZM2G052304	
GRMZM2G052323	
GRMZM2G052328	PF00856
GRMZM2G052336	PF01073
GRMZM2G052336	PF01073
GRMZM2G052336	
GRMZM2G052339	"PF01535,PF13041"
GRMZM2G052341	PF00076
GRMZM2G052341	
GRMZM2G052344	
