genes	Pfam
GRMZM2G034896	"PF01794,PF08022,PF08414,PF08030"
GRMZM2G034917	PF00135
GRMZM2G034920	PF00806
GRMZM2G034927	PF05910
GRMZM2G034929	PF03462
GRMZM2G034942	PF00717
GRMZM2G034945	PF03214
GRMZM2G034947	PF06839
GRMZM2G034956	PF03059
GRMZM2G034958	PF00657
GRMZM2G034963	PF07911
GRMZM2G034985	PF04862
GRMZM2G035017	"PF01479,PF00467,PF08071,PF16121,PF00900"
GRMZM2G035020	PF13087
GRMZM2G035023	PF02458
GRMZM2G035042	PF01926
GRMZM2G035045	"PF08246,PF00112"
GRMZM2G035063	PF00166
GRMZM2G035068	PF00271
GRMZM2G035073	PF00067
GRMZM2G035077	PF03479
GRMZM2G035092	PF00319
GRMZM2G035098	PF01163
GRMZM2G035103	PF13912
GRMZM2G035118	PF00806
GRMZM2G035131	PF12695
GRMZM2G035134	PF06888
GRMZM2G035150	PF02338
GRMZM2G035153	PF12767
GRMZM2G035156	PF00010
GRMZM2G035165	PF00133
GRMZM2G035168	PF04851
GRMZM2G035170	"PF00240,PF02179"
GRMZM2G035189	"PF03330,PF01357"
GRMZM2G035202	PF04387
GRMZM2G035213	PF08241
GRMZM2G035217	PF05055
GRMZM2G035222	PF00646
GRMZM2G035243	PF01344
GRMZM2G035256	PF02450
GRMZM2G035268	PF00171
GRMZM2G035276	"PF00005,PF01061"
GRMZM2G035278	PF10604
GRMZM2G035282	PF00201
GRMZM2G035298	PF00153
GRMZM2G035309	PF00067
GRMZM2G035325	"PF08766,PF02201"
GRMZM2G035338	PF00485
GRMZM2G035341	PF12678
GRMZM2G035370	"PF00249,PF14379"
GRMZM2G035377	PF03016
GRMZM2G035405	PF02309
GRMZM2G035417	"PF00240,PF09280,PF00627"
GRMZM2G035419	PF08555
GRMZM2G035421	"PF01734,PF11815"
GRMZM2G035430	PF09405
GRMZM2G035444	PF04535
GRMZM2G035445	PF03619
GRMZM2G035459	PF00122
GRMZM2G035461	PF04109
GRMZM2G035465	PF02309
GRMZM2G035477	"PF13812,PF01535"
GRMZM2G035482	PF06102
GRMZM2G035490	PF04043
GRMZM2G035502	"PF13410,PF13417"
GRMZM2G035503	"PF14310,PF00933,PF01915"
GRMZM2G035506	PF00141
GRMZM2G035514	PF03732
GRMZM2G035517	PF00450
GRMZM2G035520	"PF00690,PF00702,PF00122"
GRMZM2G035526	PF00717
GRMZM2G035531	PF05678
GRMZM2G035542	PF03030
GRMZM2G035552	"PF13740,PF01842"
GRMZM2G035557	PF13499
GRMZM2G035574	PF15072
GRMZM2G035584	PF02458
GRMZM2G035594	PF00590
GRMZM2G035599	PF06026
GRMZM2G035601	PF13920
GRMZM2G035620	PF12695
GRMZM2G035636	"PF05694,PF03489,PF05184,PF00026"
GRMZM2G035637	PF08569
GRMZM2G035651	PF03031
GRMZM2G035664	PF01535
GRMZM2G035665	"PF08839,PF16679"
GRMZM2G035685	PF05056
GRMZM2G035688	PF00072
GRMZM2G035701	PF02362
GRMZM2G035704	PF13639
GRMZM2G035708	PF00254
GRMZM2G035709	PF13450
GRMZM2G035718	PF02705
GRMZM2G035719	PF00076
GRMZM2G035726	"PF08063,PF00112"
GRMZM2G035736	PF00957
GRMZM2G035739	PF03248
GRMZM2G035749	PF01373
GRMZM2G035755	PF00201
GRMZM2G035764	PF14303
GRMZM2G035767	"PF06102,PF00056,PF02866"
GRMZM2G035779	PF00149
GRMZM2G035785	PF13639
GRMZM2G035790	PF00854
GRMZM2G035804	PF04601
GRMZM2G035805	PF08137
GRMZM2G035807	"PF00271,PF00270"
GRMZM2G035809	PF00069
GRMZM2G035821	PF13920
GRMZM2G035826	PF01535
GRMZM2G035839	PF04576
GRMZM2G035843	"PF13499,PF07714"
GRMZM2G035849	PF01529
GRMZM2G035859	PF03441
GRMZM2G035890	PF00161
GRMZM2G035893	"PF00957,PF00112,PF03030"
GRMZM2G035899	"PF13639,PF02225"
GRMZM2G035922	PF00254
GRMZM2G035928	"PF06943,PF00656"
GRMZM2G035933	PF02469
GRMZM2G035944	PF03634
GRMZM2G035948	PF01025
GRMZM2G035985	PF12931
GRMZM2G035994	PF13450
GRMZM2G035996	PF02301
GRMZM2G035997	PF04427
GRMZM2G035999	PF09737
GRMZM2G036007	PF00459
GRMZM2G036019	PF03813
GRMZM2G036025	PF00085
GRMZM2G036034	"PF16381,PF08752,PF01602"
GRMZM2G036050	"PF00753,PF07521,PF10996,PF13299"
GRMZM2G036060	"PF04641,PF15906"
GRMZM2G036063	PF14368
GRMZM2G036070	PF05160
GRMZM2G036086	PF05648
GRMZM2G036092	PF00010
GRMZM2G036099	"PF13499,PF00036"
GRMZM2G036108	"PF05699,PF14291"
GRMZM2G036113	PF02493
GRMZM2G036120	PF01417
GRMZM2G036123	PF00731
GRMZM2G036131	PF00330
GRMZM2G036134	PF00026
GRMZM2G036169	"PF08513,PF00400"
GRMZM2G036186	PF00443
GRMZM2G036203	"PF03051,PF08246,PF00112"
GRMZM2G036217	"PF03015,PF07993"
GRMZM2G036257	PF00067
GRMZM2G036282	PF14009
GRMZM2G036286	PF04570
GRMZM2G036288	"PF09425,PF06200"
GRMZM2G036290	"PF13288,PF08436,PF02670"
GRMZM2G036297	PF03110
GRMZM2G036340	"PF14226,PF03171"
GRMZM2G036349	PF06200
GRMZM2G036351	"PF09425,PF06200"
GRMZM2G036365	"PF00026,PF14541"
GRMZM2G036368	PF00403
GRMZM2G036409	PF00201
GRMZM2G036411	PF08392
GRMZM2G036418	PF04437
GRMZM2G036427	PF00582
GRMZM2G036429	PF08392
GRMZM2G036436	PF04788
GRMZM2G036448	PF01490
GRMZM2G036453	PF14569
GRMZM2G036455	PF00106
GRMZM2G036464	"PF03951,PF00120"
GRMZM2G036497	PF07516
GRMZM2G036502	PF08590
GRMZM2G036534	"PF02817,PF00364,PF00198"
GRMZM2G036543	PF00977
GRMZM2G036554	PF00010
GRMZM2G036564	PF13962
GRMZM2G036590	PF01025
GRMZM2G036593	PF09497
GRMZM2G036609	"PF01493,PF04898,PF01645,PF00310"
GRMZM2G036629	PF01439
GRMZM2G036631	PF00403
GRMZM2G036634	"PF00153,PF04078,PF00076"
GRMZM2G036640	PF00383
GRMZM2G036697	PF13920
GRMZM2G036703	PF03106
GRMZM2G036708	PF00291
GRMZM2G036720	PF00160
GRMZM2G036752	PF07983
GRMZM2G036759	PF00180
GRMZM2G036765	"PF02933,PF07724,PF05496,PF02359"
GRMZM2G036783	PF00117
GRMZM2G036826	PF00314
GRMZM2G036829	PF10615
GRMZM2G036832	PF00630
GRMZM2G036837	PF00642
GRMZM2G036861	PF01264
GRMZM2G036872	"PF00169,PF14389,PF00620"
GRMZM2G036880	PF00504
GRMZM2G036902	PF07714
GRMZM2G036905	PF05129
GRMZM2G036908	PF01545
GRMZM2G036912	PF08241
GRMZM2G036916	PF02705
GRMZM2G036918	PF01501
GRMZM2G036921	PF00578
GRMZM2G036940	"PF00005,PF01061"
GRMZM2G036966	PF04504
GRMZM2G036980	PF05678
GRMZM2G036991	PF01974
GRMZM2G037001	PF13233
GRMZM2G037005	PF00118
GRMZM2G037015	PF04827
GRMZM2G037036	PF02330
GRMZM2G037041	PF03647
GRMZM2G037043	PF04844
GRMZM2G037048	PF09835
GRMZM2G037082	PF02535
GRMZM2G037104	"PF01553,PF16076"
GRMZM2G037111	PF03141
GRMZM2G037113	PF01925
GRMZM2G037128	PF13837
GRMZM2G037131	PF13639
GRMZM2G037140	PF00241
GRMZM2G037146	PF00011
GRMZM2G037150	PF16455
GRMZM2G037152	PF01151
GRMZM2G037156	PF00141
GRMZM2G037164	PF08576
GRMZM2G037177	PF00132
GRMZM2G037185	PF03152
GRMZM2G037200	"PF00642,PF00400"
GRMZM2G037204	PF00025
GRMZM2G037226	"PF14259,PF00076"
GRMZM2G037229	PF05653
GRMZM2G037255	PF00234
GRMZM2G037265	PF05691
GRMZM2G037280	PF07717
GRMZM2G037284	PF05742
GRMZM2G037286	PF03514
GRMZM2G037308	PF07714
GRMZM2G037322	PF00561
GRMZM2G037323	"PF00026,PF14541"
GRMZM2G037327	PF00230
GRMZM2G037334	PF03763
GRMZM2G037335	"PF12710,PF16212"
GRMZM2G037342	PF00999
GRMZM2G037343	PF00999
GRMZM2G037345	PF12776
GRMZM2G037368	PF02309
GRMZM2G037378	PF03126
GRMZM2G037379	PF01975
GRMZM2G037386	"PF07714,PF00069"
GRMZM2G037411	PF01095
GRMZM2G037413	PF13632
GRMZM2G037422	PF00514
GRMZM2G037431	PF12708
GRMZM2G037444	PF05641
GRMZM2G037452	PF12734
GRMZM2G037469	PF03360
GRMZM2G037472	PF00225
GRMZM2G037478	PF12695
GRMZM2G037482	PF13855
GRMZM2G037493	PF13837
GRMZM2G037545	PF00201
GRMZM2G037574	PF13912
GRMZM2G037585	PF00069
GRMZM2G037591	PF02458
GRMZM2G037614	"PF02780,PF02779"
GRMZM2G037615	PF05691
GRMZM2G037617	PF00069
GRMZM2G037627	PF13639
GRMZM2G037630	PF02045
GRMZM2G037637	PF03407
GRMZM2G037650	PF00249
GRMZM2G037655	PF00810
GRMZM2G037683	PF00400
GRMZM2G037690	PF07748
GRMZM2G037694	PF00704
GRMZM2G037698	"PF00400,PF08606"
GRMZM2G037700	"PF01078,PF13943"
GRMZM2G037725	PF07839
GRMZM2G037743	PF11523
GRMZM2G037768	PF13365
GRMZM2G037778	"PF00786,PF00889"
GRMZM2G037781	PF00067
GRMZM2G037792	PF03514
GRMZM2G037807	PF00612
GRMZM2G037819	PF06813
GRMZM2G037823	PF13837
GRMZM2G037831	PF01699
GRMZM2G037839	PF13639
GRMZM2G037875	"PF03473,PF03476"
GRMZM2G037882	"PF00646,PF08387"
GRMZM2G037910	PF00170
GRMZM2G037912	"PF13774,PF00957"
GRMZM2G037923	PF00069
GRMZM2G037926	PF02234
GRMZM2G037930	PF16653
GRMZM2G037941	"PF13713,PF08381"
GRMZM2G037948	PF16719
GRMZM2G037954	"PF02721,PF05970,PF16900"
GRMZM2G037955	PF02326
GRMZM2G037993	"PF01794,PF08022,PF08414,PF08030"
GRMZM2G037998	PF01762
GRMZM2G038001	PF03009
GRMZM2G038010	PF13966
GRMZM2G038013	PF00366
GRMZM2G038015	PF07716
GRMZM2G038019	PF00582
GRMZM2G038028	PF00654
GRMZM2G038032	PF00400
GRMZM2G038041	PF00421
GRMZM2G038046	PF00026
GRMZM2G038050	"PF00628,PF16135"
GRMZM2G038051	"PF08263,PF13855"
GRMZM2G038066	"PF00628,PF12165"
GRMZM2G038073	PF02365
GRMZM2G038079	PF00069
GRMZM2G038108	"PF08327,PF09229"
GRMZM2G038126	PF07728
GRMZM2G038152	"PF13964,PF13415"
GRMZM2G038153	"PF01397,PF03936"
GRMZM2G038158	PF03106
GRMZM2G038162	PF01081
GRMZM2G038165	"PF08263,PF13855,PF00069"
GRMZM2G038170	"PF09328,PF05023"
GRMZM2G038183	PF07223
GRMZM2G038195	PF00149
GRMZM2G038198	PF00827
GRMZM2G038217	PF04398
GRMZM2G038224	"PF01823,PF05368"
GRMZM2G038243	PF02458
GRMZM2G038252	PF00046
GRMZM2G038263	"PF00467,PF00271"
GRMZM2G038270	PF00560
GRMZM2G038281	"PF13364,PF02140,PF01301"
GRMZM2G038284	"PF05605,PF14571"
GRMZM2G038291	PF13912
GRMZM2G038301	PF05140
GRMZM2G038303	PF02045
GRMZM2G038309	"PF01636,PF09202"
GRMZM2G038313	"PF01399,PF09440"
GRMZM2G038335	PF13639
GRMZM2G038340	"PF01397,PF03936"
GRMZM2G038356	PF08477
GRMZM2G038365	"PF00355,PF08802"
GRMZM2G038374	"PF07744,PF07500"
GRMZM2G038375	PF02466
GRMZM2G038384	PF02453
GRMZM2G038388	PF00931
GRMZM2G038394	PF13499
GRMZM2G038401	"PF06480,PF00004,PF01434"
GRMZM2G038427	PF09127
GRMZM2G038436	PF13202
GRMZM2G038456	PF12854
GRMZM2G038479	PF00010
GRMZM2G038485	PF01111
GRMZM2G038487	"PF08417,PF00355"
GRMZM2G038490	PF00314
GRMZM2G038492	PF03917
GRMZM2G038494	"PF01926,PF06071"
GRMZM2G038508	PF10551
GRMZM2G038510	PF02902
GRMZM2G038512	PF05212
GRMZM2G038519	PF00504
GRMZM2G038532	PF05705
GRMZM2G038536	"PF00533,PF05406,PF02877,PF08063,PF00644"
GRMZM2G038588	"PF16573,PF06807,PF16575"
GRMZM2G038598	PF02719
GRMZM2G038606	PF01423
GRMZM2G038636	"PF08246,PF00112"
GRMZM2G038669	"PF00024,PF00954,PF01453"
GRMZM2G038674	PF06376
GRMZM2G038677	PF07847
GRMZM2G038691	"PF07707,PF00651"
GRMZM2G038722	PF00249
GRMZM2G038730	PF07885
GRMZM2G038761	PF01040
GRMZM2G038780	PF04535
GRMZM2G038783	"PF00643,PF06203"
GRMZM2G038791	"PF14572,PF13793"
GRMZM2G038799	PF00069
GRMZM2G038818	PF00806
GRMZM2G038820	PF13857
GRMZM2G038821	"PF02775,PF00205,PF02776"
GRMZM2G038833	PF00830
GRMZM2G038835	PF06697
GRMZM2G038846	PF00314
GRMZM2G038848	"PF02774,PF01118"
GRMZM2G038851	PF00179
GRMZM2G038855	"PF14416,PF13839"
GRMZM2G038878	PF00319
GRMZM2G038880	PF00168
GRMZM2G038882	"PF13041,PF12854"
GRMZM2G038893	PF07714
GRMZM2G038898	PF02485
GRMZM2G038922	PF03099
GRMZM2G038928	PF00026
GRMZM2G038931	PF04654
GRMZM2G038953	"PF02881,PF02978,PF00448"
GRMZM2G038964	PF04116
GRMZM2G038973	PF07748
GRMZM2G038982	"PF07714,PF14381"
GRMZM2G038988	PF00612
GRMZM2G039009	PF03492
GRMZM2G039011	PF05633
GRMZM2G039016	PF13041
GRMZM2G039046	PF00654
GRMZM2G039074	PF00249
GRMZM2G039094	PF00917
GRMZM2G039096	PF01612
GRMZM2G039097	"PF12937,PF03478"
GRMZM2G039104	PF00565
GRMZM2G039106	"PF00564,PF07714"
GRMZM2G039112	PF00847
GRMZM2G039117	PF03371
GRMZM2G039129	PF00201
GRMZM2G039155	"PF06825,PF01535,PF13041"
GRMZM2G039166	PF02574
GRMZM2G039173	PF06813
GRMZM2G039186	"PF13967,PF02714"
GRMZM2G039187	"PF13178,PF00612"
GRMZM2G039214	PF12695
GRMZM2G039228	PF05368
GRMZM2G039238	PF00464
GRMZM2G039246	PF01627
GRMZM2G039251	"PF00549,PF02629"
GRMZM2G039254	"PF13812,PF01535,PF13041"
GRMZM2G039263	PF00118
GRMZM2G039278	PF00067
GRMZM2G039280	"PF07719,PF13414"
GRMZM2G039308	PF03715
GRMZM2G039312	PF04844
GRMZM2G039322	PF08312
GRMZM2G039325	PF07058
GRMZM2G039329	PF00450
GRMZM2G039359	PF00149
GRMZM2G039362	PF07839
GRMZM2G039365	PF03083
GRMZM2G039370	PF04450
GRMZM2G039373	PF04628
GRMZM2G039381	PF02298
GRMZM2G039385	PF03034
GRMZM2G039396	PF13450
GRMZM2G039399	PF05097
GRMZM2G039408	PF07690
GRMZM2G039417	PF00900
GRMZM2G039419	PF10392
GRMZM2G039431	"PF08263,PF00069,PF13855"
GRMZM2G039454	"PF13632,PF14569"
GRMZM2G039455	"PF16487,PF16488,PF08699,PF16486,PF02170,PF12764,PF02171"
GRMZM2G039463	PF03069
GRMZM2G039505	"PF12394,PF05057"
GRMZM2G039520	PF13962
GRMZM2G039525	"PF14416,PF13839"
GRMZM2G039532	PF12767
GRMZM2G039538	"PF05922,PF00082"
GRMZM2G039542	PF01127
GRMZM2G039571	PF07714
GRMZM2G039577	PF13519
GRMZM2G039580	PF07690
GRMZM2G039583	PF09335
GRMZM2G039586	PF00320
GRMZM2G039588	PF01263
GRMZM2G039592	PF05608
GRMZM2G039610	PF13424
GRMZM2G039618	PF05633
GRMZM2G039630	PF06624
GRMZM2G039635	PF01251
GRMZM2G039639	PF00314
GRMZM2G039648	PF02892
GRMZM2G039650	"PF03031,PF00035"
GRMZM2G039665	"PF08263,PF00560,PF13855,PF00069"
GRMZM2G039671	PF10350
GRMZM2G039683	PF16124
GRMZM2G039707	PF00462
GRMZM2G039723	"PF00044,PF02800"
GRMZM2G039725	PF13920
GRMZM2G039746	PF05843
GRMZM2G039757	PF07676
GRMZM2G039776	PF02519
GRMZM2G039792	"PF01764,PF03893"
GRMZM2G039811	PF02990
GRMZM2G039824	PF06881
GRMZM2G039828	PF00170
GRMZM2G039845	PF00230
GRMZM2G039848	PF12695
GRMZM2G039857	PF01985
GRMZM2G039867	PF12796
GRMZM2G039870	PF00847
GRMZM2G039886	"PF00226,PF01556"
GRMZM2G039889	PF00642
GRMZM2G039891	PF00201
GRMZM2G039895	PF00628
GRMZM2G039900	PF00025
GRMZM2G039906	PF03381
GRMZM2G039919	"PF06955,PF00722"
GRMZM2G039922	"PF07714,PF11721"
GRMZM2G039930	PF00717
GRMZM2G039934	"PF08263,PF13855,PF00069"
GRMZM2G039945	PF00280
GRMZM2G039949	PF04998
GRMZM2G039958	PF05608
GRMZM2G039968	PF13639
GRMZM2G039969	PF03168
GRMZM2G039976	PF00759
GRMZM2G039978	PF04535
GRMZM2G039982	PF04055
GRMZM2G039983	PF06886
GRMZM2G039993	PF03492
GRMZM2G039996	PF00504
GRMZM2G040017	PF01699
GRMZM2G040030	PF05562
GRMZM2G040033	PF08449
GRMZM2G040039	PF03917
GRMZM2G040050	PF07816
GRMZM2G040052	PF02847
GRMZM2G040068	PF02434
GRMZM2G040069	PF05160
GRMZM2G040079	"PF01695,PF00439"
GRMZM2G040090	"PF00389,PF02826"
GRMZM2G040094	PF13499
GRMZM2G040095	PF00305
GRMZM2G040115	PF03000
GRMZM2G040117	PF00561
GRMZM2G040121	PF05042
GRMZM2G040125	PF07059
GRMZM2G040129	PF03175
GRMZM2G040131	"PF01429,PF07496"
GRMZM2G040145	PF07967
GRMZM2G040158	PF00999
GRMZM2G040161	PF13661
GRMZM2G040164	PF00227
GRMZM2G040170	PF05129
GRMZM2G040175	PF05078
GRMZM2G040182	PF12937
GRMZM2G040186	PF01061
GRMZM2G040207	PF13923
GRMZM2G040209	"PF10531,PF10589,PF01512"
GRMZM2G040230	PF01529
GRMZM2G040236	PF13639
GRMZM2G040247	PF00637
GRMZM2G040263	"PF08263,PF13855,PF07714"
GRMZM2G040278	PF12937
GRMZM2G040296	"PF01504,PF00118"
GRMZM2G040298	PF03106
GRMZM2G040300	PF00702
GRMZM2G040309	PF08627
GRMZM2G040311	PF04043
GRMZM2G040326	PF00326
GRMZM2G040349	PF02045
GRMZM2G040359	PF00657
GRMZM2G040369	"PF14492,PF03144,PF00679,PF03764,PF00009"
GRMZM2G040382	PF02845
GRMZM2G040385	"PF04564,PF08606"
GRMZM2G040387	PF15365
GRMZM2G040397	PF02719
GRMZM2G040401	PF07933
GRMZM2G040424	PF04117
GRMZM2G040441	PF03094
GRMZM2G040452	PF00481
GRMZM2G040453	PF00515
GRMZM2G040463	PF05699
GRMZM2G040477	PF00400
GRMZM2G040481	PF04873
GRMZM2G040490	"PF16211,PF00125"
GRMZM2G040508	"PF00560,PF08263,PF07714,PF13855"
GRMZM2G040509	PF00651
GRMZM2G040511	PF03109
GRMZM2G040513	PF13432
GRMZM2G040515	PF01470
GRMZM2G040517	PF01190
GRMZM2G040555	PF01138
GRMZM2G040561	"PF01556,PF00226"
GRMZM2G040600	PF01092
GRMZM2G040613	PF09139
GRMZM2G040627	PF03167
GRMZM2G040630	PF03360
GRMZM2G040634	PF14953
GRMZM2G040638	PF00141
GRMZM2G040642	PF00481
GRMZM2G040660	PF12776
GRMZM2G040664	PF00847
GRMZM2G040672	PF02590
GRMZM2G040673	PF04844
GRMZM2G040689	PF14547
GRMZM2G040702	PF03876
GRMZM2G040720	PF03109
GRMZM2G040724	PF00860
GRMZM2G040728	PF00067
GRMZM2G040736	PF00072
GRMZM2G040743	"PF13833,PF07714"
GRMZM2G040762	"PF14709,PF00271,PF00035,PF03368,PF02170,PF00636"
GRMZM2G040803	PF00097
GRMZM2G040821	PF04570
GRMZM2G040828	"PF01535,PF13041"
GRMZM2G040833	PF13839
GRMZM2G040840	PF07714
GRMZM2G040843	PF12899
GRMZM2G040871	"PF07690,PF00083"
GRMZM2G040876	PF02516
GRMZM2G040878	PF04755
GRMZM2G040887	"PF12627,PF01743"
GRMZM2G040902	PF10496
GRMZM2G040911	PF03547
GRMZM2G040920	PF02485
GRMZM2G040924	PF00249
GRMZM2G040933	PF03600
GRMZM2G040945	PF05761
GRMZM2G040947	"PF01535,PF13041"
GRMZM2G040954	PF00069
GRMZM2G040964	PF00069
GRMZM2G040965	PF02181
GRMZM2G040968	PF01326
GRMZM2G040970	PF01535
GRMZM2G040995	"PF00271,PF00270,PF08148,PF13234"
GRMZM2G041028	PF05071
GRMZM2G041050	PF00860
GRMZM2G041060	PF00254
GRMZM2G041065	PF03030
GRMZM2G041125	PF00069
GRMZM2G041127	"PF00046,PF02183"
GRMZM2G041141	PF04564
GRMZM2G041159	"PF03900,PF01379"
GRMZM2G041167	PF14360
GRMZM2G041171	PF03004
GRMZM2G041175	PF00335
GRMZM2G041181	PF04144
GRMZM2G041203	PF12937
GRMZM2G041223	"PF08880,PF08879"
GRMZM2G041231	"PF01535,PF13041"
GRMZM2G041238	"PF00467,PF16906"
GRMZM2G041258	PF04398
GRMZM2G041262	PF06813
GRMZM2G041269	PF07800
GRMZM2G041275	"PF11421,PF02874,PF00306,PF00006"
GRMZM2G041277	PF12776
GRMZM2G041291	PF00888
GRMZM2G041308	PF00141
GRMZM2G041312	"PF00571,PF16561"
GRMZM2G041328	PF05185
GRMZM2G041344	PF13639
GRMZM2G041352	PF02265
GRMZM2G041356	PF01263
GRMZM2G041368	PF00301
GRMZM2G041369	PF02450
GRMZM2G041371	PF03770
GRMZM2G041373	PF00642
GRMZM2G041381	"PF00125,PF16211"
GRMZM2G041394	"PF03188,PF03351"
GRMZM2G041404	PF00301
GRMZM2G041415	PF00249
GRMZM2G041418	PF00070
GRMZM2G041454	PF10294
GRMZM2G041456	PF00137
GRMZM2G041462	"PF02183,PF00046"
GRMZM2G041463	"PF14531,PF03822"
GRMZM2G041472	PF04003
GRMZM2G041506	"PF04783,PF04782"
GRMZM2G041518	"PF11721,PF07714"
GRMZM2G041527	"PF06978,PF08170"
GRMZM2G041534	PF00497
GRMZM2G041536	PF02171
GRMZM2G041544	PF00069
GRMZM2G041547	PF00900
GRMZM2G041549	PF13639
GRMZM2G041559	"PF13041,PF00814"
GRMZM2G041561	"PF13639,PF02148,PF07576"
GRMZM2G041574	PF02902
GRMZM2G041595	PF07690
GRMZM2G041613	PF09741
GRMZM2G041622	PF13947
GRMZM2G041631	PF00854
GRMZM2G041633	PF03735
GRMZM2G041642	PF00743
GRMZM2G041668	PF02365
GRMZM2G041685	PF14497
GRMZM2G041694	PF08659
GRMZM2G041697	"PF14641,PF14632,PF14639,PF14635,PF14878,PF14633"
GRMZM2G041699	PF00201
GRMZM2G041701	"PF02319,PF16421"
GRMZM2G041714	PF04588
GRMZM2G041724	"PF08799,PF02840"
GRMZM2G041729	PF13202
GRMZM2G041732	"PF04851,PF00271"
GRMZM2G041746	PF02365
GRMZM2G041761	PF04844
GRMZM2G041770	PF04576
GRMZM2G041774	PF00069
GRMZM2G041797	"PF00458,PF00587,PF03129"
GRMZM2G041799	PF15663
GRMZM2G041809	PF00462
GRMZM2G041818	PF04504
GRMZM2G041822	"PF16891,PF00149"
GRMZM2G041831	"PF13833,PF00153"
GRMZM2G041839	PF00847
GRMZM2G041866	"PF08100,PF00891"
GRMZM2G041878	PF14661
GRMZM2G041881	PF01849
GRMZM2G041885	PF04258
GRMZM2G041899	"PF17123,PF14624,PF13519"
GRMZM2G041913	PF08498
GRMZM2G041955	"PF01535,PF13041"
GRMZM2G041959	PF01344
GRMZM2G041961	PF00332
GRMZM2G041963	PF00651
GRMZM2G041980	PF00230
GRMZM2G041991	"PF00643,PF06203"
GRMZM2G041994	PF06749
GRMZM2G042006	PF14709
GRMZM2G042008	PF00026
GRMZM2G042011	PF00069
GRMZM2G042027	PF00153
GRMZM2G042030	PF02902
GRMZM2G042034	PF01058
GRMZM2G042036	PF06320
GRMZM2G042040	PF01124
GRMZM2G042047	"PF00125,PF16211"
GRMZM2G042055	"PF11721,PF07714"
GRMZM2G042061	PF00830
GRMZM2G042074	PF05496
GRMZM2G042078	PF04718
GRMZM2G042080	"PF00081,PF02777"
GRMZM2G042084	"PF00620,PF00169,PF14389"
GRMZM2G042089	PF00928
GRMZM2G042099	PF06454
GRMZM2G042101	PF00010
GRMZM2G042107	"PF13962,PF12796"
GRMZM2G042118	PF00076
GRMZM2G042125	PF05617
GRMZM2G042127	"PF04578,PF13968"
GRMZM2G042131	PF05970
GRMZM2G042133	"PF00684,PF14214,PF01556"
GRMZM2G042136	PF03358
GRMZM2G042143	PF08524
GRMZM2G042146	PF00153
GRMZM2G042154	PF06963
GRMZM2G042164	PF00717
GRMZM2G042171	"PF01740,PF00916"
GRMZM2G042173	"PF02854,PF04050"
GRMZM2G042178	PF00582
GRMZM2G042179	PF04321
GRMZM2G042195	PF00076
GRMZM2G042198	"PF00643,PF06203"
GRMZM2G042218	PF02701
GRMZM2G042231	PF00439
GRMZM2G042245	PF16561
GRMZM2G042250	"PF00046,PF01852,PF08670"
GRMZM2G042253	PF00118
GRMZM2G042278	"PF00564,PF02042"
GRMZM2G042295	PF03141
GRMZM2G042313	"PF13906,PF13520"
GRMZM2G042332	PF02902
GRMZM2G042343	PF00076
GRMZM2G042347	PF00141
GRMZM2G042356	PF03982
GRMZM2G042364	PF00892
GRMZM2G042371	PF00400
GRMZM2G042380	PF07714
GRMZM2G042398	PF08241
GRMZM2G042407	PF05142
GRMZM2G042412	PF04145
GRMZM2G042421	PF03168
GRMZM2G042429	PF02519
GRMZM2G042442	"PF00856,PF05033,PF10440"
GRMZM2G042443	PF05183
GRMZM2G042477	PF12146
GRMZM2G042488	PF03168
GRMZM2G042492	PF00468
GRMZM2G042494	PF02365
GRMZM2G042497	PF00962
GRMZM2G042502	PF00365
GRMZM2G042506	"PF01201,PF07992,PF13839"
GRMZM2G042516	PF01738
GRMZM2G042538	PF13639
GRMZM2G042543	PF00067
GRMZM2G042548	PF14303
GRMZM2G042552	PF03357
GRMZM2G042576	"PF07207,PF12481"
GRMZM2G042582	PF00085
GRMZM2G042592	PF00085
GRMZM2G042599	PF02137
GRMZM2G042604	"PF10584,PF00227"
GRMZM2G042605	PF01556
GRMZM2G042607	"PF00337,PF01762"
GRMZM2G042615	PF00076
GRMZM2G042622	PF07714
GRMZM2G042623	"PF00806,PF07990"
GRMZM2G042627	"PF00498,PF00481"
GRMZM2G042636	"PF03953,PF00091"
GRMZM2G042639	"PF13410,PF13417"
GRMZM2G042660	"PF02727,PF02728,PF01179"
GRMZM2G042666	PF12171
GRMZM2G042667	"PF00560,PF13855"
GRMZM2G042677	PF02450
GRMZM2G042683	PF00076
GRMZM2G042692	PF00403
GRMZM2G042704	PF00917
GRMZM2G042712	PF02519
GRMZM2G042715	PF02840
GRMZM2G042733	PF14215
GRMZM2G042741	PF02519
GRMZM2G042752	PF00646
GRMZM2G042756	PF00847
GRMZM2G042758	PF00657
GRMZM2G042765	PF02519
GRMZM2G042776	PF01565
GRMZM2G042782	PF13898
GRMZM2G042789	PF00280
GRMZM2G042797	PF12222
GRMZM2G042806	"PF03735,PF05641"
GRMZM2G042807	"PF12871,PF03371"
GRMZM2G042811	"PF07714,PF08276,PF00954,PF01453"
GRMZM2G042818	PF00378
GRMZM2G042865	PF00201
GRMZM2G042870	PF00332
GRMZM2G042881	PF05915
GRMZM2G042889	PF09333
GRMZM2G042893	PF00010
GRMZM2G042895	PF00010
